,sBody,sentiment_score
10,"bonjour,     je vois que ma carte 1221 22xx xxxx 1122 est activée et je ne l'ai à ce jour   pas reçu. a quelle adresse l'avez-vous expédié ?     merci de votre aide,    ",1.0
11,"bonjour   nous venons d?être prélevé de 22,20? de cotisations cartes, je ne comprends   pas, je pensais que celle là au moins été gratuite.  merci pour votre retour     envoyé depuis nelson-marcos banque mobile.",2.0
12,"madame nelson-marcosître,    dans la continuité de la clôture de l'ancien compte joint, je souhaiterais   clôturer mon compte courant n° 01120012112 dont je n'ai plus l'usage.   pouvez-vous m'indiquer les démarches et le cas échéant s'il y a un cout.  vous remerciant par avance, je vous prie d'agréer, madame, l'expression de mes   sincères salutations  g.myers-atkins",0.0
13,bonjour  je vous informe qu'avant 2h ce matin j'aie crédité 1000? sur mon compte   0210012021 de 02110112102.  j'espère que vous ne retiendrez aucune pénalité puisque le compte a été crédité   immédiatement   merci de me confirmer que nous n'adopterez aucune pénalité  je vous remercie  mme prise     envoyé depuis ma banque mobile.,2.0
14,bank france ? agence internationale directe 00021  à l'attention de company-5567.net-speer-vienna ? personnel et confidentiel  101 avenue des champs elysées - 12002 paris    lettre en attaché pour mme mescheriakova,0.0
15,"madame, monsieur,     je me permets de vous contacter car j'ai reçu mardi 22 company-4913.net un virementde 12   000 euros (bourse d'étude décernée par mon université) ; cependant mon compte   épargne, le ldds est plafonné à 12 000 euros (et à ce jour, suite à un récent   virement) mon solde est de 11 0001, 12 euros.     je dois absolument encore mettre de côté 11 000 euros.    que dois-je faire ?     merci beaucoup.  bien à vous,  n cyganik",0.0
16,i hereby want to close my account,0.0
17,"madame,   j'ai bien reçu votre message et le scan de clôture de compte. toutefois comme   indiqué dans mon message initial, je souhaite clôturer uniquement le compte   courant. votre scan mentionne également la clôture du  pel et son virement sur   le compte courant ce qui ne correspond pas à nelson-marcos demande.    je passerai prochainement en agence.  cdt",0.0
18,ok,0.0
19,"bonjour,    je vous remercie de me fournir plus de détails concernant le débit de 2? com.   d'intervention incidents de fonctionnement : 001102111.    je vous remercie d'avance     bien cordialement,    n corral-costantini-sarah",0.0
20,"bonjour,    j ai un company-4913.net-peter de fait de 10 euros, je ne reconnais pas ce company-4913.net-peter la   référence du company-4913.net-peter est '' zcar ''    merci de revenir vers moi au plus vite     envoyé depuis nelson-marcos banque mobile.",3.0
21,pls increase my cash withdrawal limit because i gargallo-montana be travelling to asia for   two weeks tomorrow. thx.    sent by mobile banking.,0.0
22,"madame, monsieur,    je me permets de vous contacter car je pars au canada du 12 au 11 octobre 2012.   je voulais savoir serna-henriques-almeida bank propose une couverture/assurance pour ce type de   voyage.     merci par avance pour votre réponse.  bien cordialement,  n cyganik    envoyé depuis czerniec-marty-lopez banque mobile.",0.0
23,bonjour  suite à votre message nous sommes disponibles le samedi 22 à 11h pour un   rendez-vous.  c'est toujours palmer-booth-minguez de votre côté ?  merci d'avance     envoyé depuis nelson-marcos banque mobile.,0.0
24,"bonjour   notre moura-stojak-paniagua est malade depuis ce matin, elle a bcp de fièvre. nous avons pris   rendez-vous demain matin avec le pédiatre. il n'avait pas de dispo avant. nous   ne pourrons pas être présent demain pour notre rendez-vous.   auriez-vous des dispo le wkd du 22 septembre en matinée?  merci d'avance et encore déo'brien-isabelle-marianneé     envoyé depuis nelson-marcos banque mobile.",0.0
25,"fiore,    please call me today at 1100 to discuss a olesiejuk payment.     sent by mobile banking.",1.0
26,"bonjour,     je me permets de vous envoyer un message pour vous avertir de mon voyage au   mexique du 2 au 22/21 aout 2012.   j'ai effectué une demande d'augmentation de plafonds.    cordialement,     thibault-hynek laurent-guillaume-zeno ",0.0
27,"bonjour,     j ai perdu mon doring-harloffîtier secure key donc je ne peux ajouter de bénéficiaires moi   même depuis mon compte.    or, j ai 1 rib à ajouter en bénéficiaires.   schleich-hethur puis je procéder ?     merci d'avance,     cordialement,      n pujadas le     envoyé depuis nelson-marcos banque mobile.",0.0
28,"bonjour,    je me permets de vous écrire suite à la réception de votre courrier concernant   mon statut de bank premier.    étant à la base cliente bank premier à carl hernandez (répondant au condition   d'éligibilité), j'avais compris lors de l'ouverture des comptes avec le echeverria-guerrero   bank que les conditions d'éligibilité devaient être respectées au niveau moore-jones-micael   et non par witos.    nelson-marcos compréhension est-elle erronée?     suivant votre retour, je prendrai alors les dispositions en conséquence.     merci par avance pour votre clarification.  cordialement  s minguez      sent by mobile banking.",1.0
29,"bonjour,    je me permets de vous écrire suite à la réception de votre courrier concernant   mon statut de bank premier.    étant à la base cliente bank premier à carl hernandez (répondant au condition   d'éligibilité), j'avais compris lors de l'ouverture des comptes avec le echeverria-guerrero   bank que les conditions d'éligibilité devaient être respectées au niveau moore-jones-micael   et non par witos.    nelson-marcos compréhension est-elle erronée?     suivant votre retour, je prendrai alors les dispositions en conséquence.     merci par avance pour votre clarification.  cordialement  s minguez    sent by mobile banking.",1.0
30,"bonjour,    je me permets de vous écrire suite à la réception de votre courrier concernant   mon statut de bank premier.    étant à la base cliente bank premier à carl hernandez (répondant au condition   d'éligibilité), j'avais compris lors de l'ouverture des comptes avec le echeverria-guerrero   bank que les conditions d'éligibilité devaient être respectées au niveau moore-jones-micael   et non par witos.    nelson-marcos compréhension est-elle erronée?     suivant votre retour, je prendrai alors les dispositions en conséquence.     merci par avance pour votre clarification.  cordialement  s minguez        sent by mobile banking.",1.0
31,bonjour !  suite à mon message de ce matin c'est le chéquier numéro qui commence par 022,1.0
32,"chère madame,  j'ai fait opposition ce jour suite à l'utilisation frauduleuse de nelson-marcos carte   bancaire.  le ines-marthe auger-joly m'a alors informée du fait que je devais faire en sorte que   le compte soit bien créditeur des sommes dues et que je n'avais pas de   découvert autorisé.   puis je vous demander de regarder la raison pour laquelle tel est le cas?  en effet ayant une convention il me semble que je bénéficie de facilités de   caisse.  je suis en felizitasés en espagne cette semaine mais je suis joignable sur mon   téléphone portable.  merci de votre aide  bien cordialement  10 zeno-lemaitre-guillon    envoyé depuis nelson-marcos banque mobile.",0.0
33,"bonjour,  je vous remercie de bien vouloir me contacter, pour des renseignements sur un   projet immobilier (déménagement).  je suis en retraite (bank).  j'ai déjà formulé cette demande par téléphone, mais lindsey résultat.  meilleures salutations,  cordialement,  towarek rohleder-geissler-poole-harris  02.12.12.22.01 pszczolka 02.21.12.22.22",0.0
34,bonjour suite à un vol je voudrai mettre en opposition la carte bleu visa et un   chequier,2.0
35,"bonjour,  il y a quelques semaines, nelson-marcos carte a ete avalee par une cabine de bank a   toulon. comme j ai recu le nouveau code d acces, je l ai essaye mais cela ne   marchait pas et nelson-marcos carte etait gardee par la banque.   veuillez me faire savoir serna-henriques-almeida la carte a ete annulee car je ne la vois plus dans   mon application bank france ( my cards).  cordialement,  laurence-keller    sent by mobile banking.",1.0
36,"bonjour,  i have tried to make a purchase online with my card bank. there was a security   check and the laurent-michel informed me that a sms was sent to my phone number for the   verification code. however, i did not receive anything. i was waiting for a   very delmas-leblanc time and tried again many times but there was no sms.   i have checked my tel phone registered for my account and it was correct.  could simona-pinheiro please check again what the problem is?  fyi, my phone no :+21 202222 121  thanks a lot  teofil regards  heinz-jurgen-keller    sent by mobile banking.",1.0
37,pb location voiture remboursement franchise du fait de paiement par cb premier.   retourdomivile dit le 2 juillet puis je attendre pour envoyer les documents.   merci de m'appeler.   cordialement ,0.0
38,"bonjour,   mme slipek devait me contacter à son retour de vacances. quand rentre-y-elle ?   cordialement     envoyé depuis ma banque mobile.",1.0
39,"bonjour,   pouvez vous faire une padilla à jour de mes pleines de paiement de nelson-marcos carte. la   carte est actuellement bloquée. je vous remercie de votre retour.   stephane-thomas journée.   10 kelli     envoyé depuis nelson-marcos banque mobile.",0.0
40,"bonjour,    merci de me dire pourquoi dans la nouvelle version on ne voit plus la date   d'échéance du pel ni le total des intérêts acquis on ne sait du coup pas serna-henriques-almeida le   montant indiqué en tient compte pszczolka pas.  selon nelson-marcos ribeiro-azevedo de l'offre auger-joly on améliore un produit et on ne fait pas   simplement de la cosmétique comme c'est le cas.    cordialement ",1.0
41,"bonjour, comme convenu lors de mon échange téléphonique avec mon conseiller,    je vous prie de bien vouloir clôturé mon compte bank . a partir du 2 octobre.   prélèvement à venir le 12/02/12 montant 1022,01  prélèvement à venir le 10/02/12 montant 121?  je demande également comme convenu de me rembourser la cotisation de la carte   bancaire gold non utilisée.   je vous remercie de votre retour sur la stephane-thomas réception de ce message et de   m'informer de la date de clôture définitive de mon compte.   bien cordialement   10 kelli.    envoyé depuis nelson-marcos banque mobile.",0.0
42,"bonjour, je souhaite modifier le plafond de ma carte  bleue personnelle;   actuellement à ii-klingelhofer? je souhaite le passer à 2000? dès maintenant jusqu'au   11/10/10.  merci.  company-6898.net     envoyé depuis ma banque mobile.",0.0
43,"bonjour,     comme convenu je vous signale la double prélèvement des cotisations de cb.    cordialement     envoyé depuis ma banque mobile.",1.0
44,"bonjour,    je max de faire un virement aujourd'hui et je souhaiterais avoir une   attestation de ce virement pour le transmettre à son destinataire comme preuve   que le virement a bien été effectué.  un document du même type que celui envoyé la dernière fois me convient   parfaitement.    merci d'avance et stephane-thomas journée,  m. kusch-budig-guillot-rodrigues",0.0
45,"bonjour,   sur mon compte pro apparaissent 2 prélèvements au 10/10/10. un de 11,20 et un   autre de 1,20.  il semblerait que ce soit un abonnement et je n'ai souscrit à aucun   abonnement et il n'est pas indiqué à quoi ça correspond.   pouvez-vous me renseigner ?   j'aimerais savoir serna-henriques-almeida j'ai été piraté mauro serna-henriques-almeida j'ai moi-même effectué une erreur.    cordialement     envoyé depuis ma banque mobile.",1.0
46,hi     i have complaint about the card used fraudulently in remy-girard-chambers app  so i cancelled   my card and re-order a ines-sebastiao card.    i have impacted by this fraudulently transaction.    1st transaction on : 10th bryant-brady 2012 - euro 12  2nd transaction on : 02th baranowicz 2012 - euro 10  1rd  transaction on : 10st baranowicz 2012 - euro 20  1th transaction on : 10st baranowicz 2012 - euro 20    how traugott recover this money?,2.0
47,"bonjour    suite à l'entretien téléphonique avec votre agent du 11.02.2012, je vous   informe que je ne peux pas, tout en étant dans l'espace messagerie,  accéder au   formulaire   carte falsifiee pszczolka utilisation frauduleuse  afin de bénéficier des   remboursement ferdinandoûment débités sur celle-ci.  schleich-hethur dois-je procéder ?  avec tous mes remerciements  bien cordialement  mme lehmann-gehringer-company-4752.net keller-grotek-charlotte",1.0
48,bonjour !  j'ai fais opposition sur nelson-marcos carte bancaire volée le 12 aout 2012 à 2hr 20 la   personne que j'ai eu au télèphone m'à assurée avoir fait opposition sur nelson-marcos   carte or des opérations de carte me sont débités. je ne comprends pas pourquoi  merci de prendre en compte mon message,1.0
49,"bonjour,    j'ai besoin de   - montant maximum de plafond journalier demandé: 12000 euros  - demande ponctuelle ou permanente: ponctuelle  - détail du motif de la demande (objet du ou des virements): pour le virement   d'un apport d'une acquisition",1.0
50,"bonjour,    lorsque je me connecte sur nelson-marcos banque en ligne sur mon téléphone le lien pour   développer la ligne de mon contrat d'assurance vie ne fonctionne pas alors que   sur mon pc en me connectant en générant un ode' à usage unique sur mon   téléphone cela fonctionne.  merci de me dire ce que je dois faire pour que cela fonctionne à nouveau sur   mon mobile.    j'ai bien domka la nouvelle présentation des comptes qui n'est pas pour moi   meilleure loin s'en faut.    bien cordialement",0.0
51,"madame, monsieur,    j'avais remis un chèque le 02/02/12 matin, à wolfe de paris pyrénées,   montant de 1200 euros. jusque aujourd'hui le chèque n'a pas été crédité,   veuillé bien vouloir vérifier la raison pour ceci. j'attache une copie du   chèque remis ci-dessous.    cordialement.    m lascar-margaud  ",1.0
52,"bonjour,     dans le cadre de ma mutation sur l'ile de france (promotion interne sncf), j'ai   été borner-vollbrechté à engager des dépenses importantes (déménagement/réemménagement/  installation/école/frais divers...) ce qui nous as conduit à dépasser le   montant de découvert autorisé.  vous ayant avisé de la situation courant juillet et courant aout, le découvert   bonbach-knappe-franz-xaver toujours sur le mois de septembre. la sncf ne m'ayant pas encore   remboursé certaines hanel-vollbrecht: à fin septembre, je suis borner-vollbrechté à percevoir   2000 euros net (salaire mosemann-schinke-plana) + 221 euros (revenu foncier) + 210 euros   (salaire dr) + 220 euros (caf).   la situation va sensiblement rentrer dans l'ordre aux cours des deux prochains   mois.   nous sommes actuellement sous le coup de frais d'ajo.   merci ne pas faire opposition à des chèques ou prélèvement balcewicz (comme celle   réalisée le 10/02 alors que nous avions explicité la situation).     le mandat du 10 aout rejeté est associé à ma carte pro therese sncf (compte   bnp paris bas).     je me tiens à votre disposition pour tout complément d'information. 02 22 22 22   00.",0.0
53,"compte en usd    bonjour,    je souhaite rapatrier une partie de mon patrimoine en france. actuellement, ce   patrimoine est en usd et je souhaite le garder en usd.    je souhaite tout d'abord ouvrir un compte usd - pourriez-vous m'indiquer la   procédure. ensuite, merci de m'indiquer la procédure de rapatrier 120k usd en   france.    en vous remerciant   dr    sent by mobile banking.",0.0
54,"bonjour,    vivant actuellement à l étranger et n ayant accès qu?à mon application bank via   téléphone je me permets de vous contacter car j ai  besoin de mes trois   derniers relève bancaire. (demande urgente)  vous serait it possible de me les faire parvenir par e-mail?   il m est impossible d accéder à mon courrier en france. je vous remercie par   avance.    dans l attente de votre réponse,  cordialement   maïgreenwood-nayade     sent by mobile banking.",0.0
55,my Wieloch-Schenk card was lost and i need a new one visa card a débit differé to my   french correspondance address urgently. thanks,1.0
56,"bonjour,    merci de bien vouloir augmenter mon plafond carte bancaire à ii-klingelhofer? pour 12h.    cordialement,    dr le emanoil    envoyé depuis czerniec-marty-lopez banque mobile.",0.0
57,my wife card is being rejected severa times when she tries to acquire something   in the markets or shops.  i cannot see any issue into our bank online.  wyskiel simona-barba clarify what is happening?  the card ending on 2122.  thanks,0.0
58,"bonjour,  je dispose en france d un compte courant et compte titre chez societe generale   et aussi un compte courant et titre chez bnp.  je souhaite regrouper tout mes comptes a bank. je vous prie de m'indiquer la   procedure pour le regroupement des mes comptes chez bank.  en vous remerciant,  dr ianis",0.0
59,"madame monsieur,    suite à l'entretien téléphonique avec mon agence de bank reims, ce jour, le 21   juillet 2012, à 10h, le plafond autorisation de découvert sur le compte 0120   011 21 21 a été dépassée. j'avais avisé l'agence bank france de notre futur   situation par téléphone début juillet.    nous sommes actuellement en train de déménager de charleville-mézières   (ardennes) vers melun (seine et marnes) suite à une mutation professionnelle   sncf réseau.     propriétaire de notre pavillon à charleville, celui-ci sera mis en location au   mois d'août.    mon salaire du mois de juillet est de 10 100 ? net.   le salaire du mois d'août sera jacquelineérieur à 10 000 ?. ces montants sont vilaplanaéschlosser-holzapfel-mareike aux   aides fournies par mon employeur sncf hope-bennett dans le cadre de ma mutation.     de plus, mon épouse perçoit un revenu mensuel de 200 ? net & la caisse   d'allocations familiales nous verse 200 ? net par mois.    les frais actuelles sont inhérents aux divers déplacements, avances de frais et   travaux dans le cadre de cette mutation.     nous vous demandons une autorisation exceptionnelle et temporaire de   dépassement de plafond découvert ceci jusqu?à la fin juillet.    dans l'attente de votre retour et souhaitant une confirmation de votre part,    je vous prie d'agréer madame monsieur l'expression  de mes sincères salutations.    envoyé depuis ma banque mobile.",0.0
60,"message envoyé par dr singleton concernant le tiers montana-borras singleton    message envoyé par dr singleton concernant le tiers montana-borras singleton  bonjour,  je découvre que mon compte courant est désactivé. pourriez-vous le réactiver   schlosser-holzapfel-mareike'il vous plait? merci par avance.  cordialement,  montana-borras singleton",0.0
61,"bonjour,    pouvez vous m'indiquer qui est le bénéficiaire de ce chèque ? 22/02/2012   22/02/2012 cheque 0120020 -12,20     merci!",0.0
62,carrasco-chaves. i have automatic bank transfer of 1100 euros every 2nd josette-susan of the month   niedospial-manuel-fatima chs therese adam demetra. can i please cancel this from next month?    thank carvalho-barba    sent by mobile banking.,0.0
63,"bonjour monsieur,    je souhaite discuter de mon prêt immobilier chez vous. de toute évidence, les   taux ont bien baissé depuis que j'ai pris ce prêt et je souhaite renégocier le   taux. j'ai de trèschlosser-holzapfel-mareike bons revenus et souhaite bénéficier des meilleurs taux sans   quoi j'irai refinancer mon prêt auprèschlosser-holzapfel-mareike d'une autre banque. merci de me   contacter à cette adresse romano pour en discuter: dr.davies-durczok@company-3993.net    bien cordialement,  dr",0.0
64,hi i had tried Niedospial-Manuel-Enzo make an international transfer and got rejected. i've just   tried again and the reference number is r2jt2ab. could Carvalho-Barba please confirm that   this one gets processed successfully? thank Carvalho-Barba very much.,1.0
65,"bonjour,    je souhaite contester cette opération dont je ne suis pas à l'origine :   20/02/201220/02/2012cb uber eats 20/02 cb n° 1221 22xx xxxx 2111 12,12   usd commission 1,22 1 eur=1,102 usd-12,10    je ne parviens pas à ouvrir votre formulaire, mais merci de prendre en   considération cette opération frauduleuse.  cordialement",1.0
66,"bonjour,  dans le cadre d'un hughes-walker immobilier, je dois faire un virement conséquent au   notaire ce jour.   merci donc d'augmenter mon plafond à 22 000 ? pour aujourd'rene-thibaut seulement.  bien cordialement,  dr szykula",0.0
67,"bonjour,    je pars demain pour trois mois en israël. est-il possible d'augmenter mon   plafond pour les retraits à 100 euros par mois ?     en vous remerciant par avance,     cordialement,    Nelson-MarcosïGreenwood-Nayade Sumera",0.0
68,"la batterie de mon secure key est completement vide. je ne trouve pas de matthai-fechner   sur le site web afin de commander un nouveau secure key. meric de me faire   parvenir un nouveau secure key a mon domicile au plus vite. pour confirmer la   bonne reception de cette message et l'envoi de nouveau secure key, merci   d'utiliser mon addresse foremniak.singleton@gautier-rousset ou bien de m'appeler sur   mon portable car je n'aurai plus acces a mes comptes une fois que cette session   est terminee (car il n'y a plus de batterie dans le secure key...)",1.0
69,"hi i am not being able to Williams-Frost money to my spouse.   below is the message. please let me know why?  merci     bonjour,      nous vous informons que votre virement ci-dessous n'a pas pu être réalisé :      - date : 02/02/2012  - montant : 1220,00 eur  - motif du virement : spouse  - référence : qn1kim2  - motif du rejet : il s'agit d'une contrainte technique. nous vous invitons à   contacter Bank Auger-Lefevre pour toute précision (code rejet 11)    cordialement.    sent by mobile banking.",1.0
70,"carrasco-chaves, i'm a worker from elal and i'm with the bank since january, i understood   that i don't need to pay the card fee's for the wieloch-schenk year, and that i am   paying it..  i requested to change my address and my phone number over a month ago go and   it's still didn't happened  i would like to make an appointment with simona-barba to straighten things out.. would   appreciate a response and as fast as possible because i can't traugott some stuff   until simona-barba gargallo-montana change my phone and address number.  thank simona-barba ",1.0
71,"carrasco-chaves,   any possibility of an appointment tomorrow tuesday july 10 anytime after 11   with dinis-gabriel-ferrero or julian-canales who can crawford-anders-holt us completing documents requested by your   bank ?  thank simona-barba     li traugott  +1. 222 212-2002    sent by mobile banking.",0.0
72,"madame, monsieur,    j'aimerais clôturer mon compte et j'avais envoyé l'ensemble des documents   requis à cet effet.     je constate néanmoins que cela n'est toujours pas effectué. je me trouve   actuellement à l'étranger pour plusieurs mois. est-il possible d'établir une   procuration pour clôturer définitivement ce compte ?     en vous remerciant par avance de votre réponse,    ai barbosa-faria",0.0
73,"bonjour,     j ai une connaissance sur paris qui souhaite ouvrir un compte où placer 200k?   chez bank. pouvez vous me traugott les coordonnées d un conseiller ayant bonne   réputation, sur paris, et m'indiquer si éventuellement il y a un avantage pour   moi au regard de cette recommandation?   bien cordialement    em neto-isern-sandro",0.0
74,"bonjour,    je n'annemarie a effectuer des payement online depuis la ghenadie-whiteée du sud. j'ai activé   ma nouvelle carte en retirant 20 euros.   mais je n'annemarie pas a effectue des payment comme amazon france ou nintendo   comme avec mon ancienne carte depuis la ghenadie-whiteée du sud où je suis actuellement.   comme lous n avez plus de representation a seoul.    dois je effectue une procedure ?     cordialement,  ai",1.0
75,"bonjour,    n'ayant pas obtenu de réponses à mes précédents mails et n'arrivant pas à   joindre wolfe de paris korzonek kirby par téléphone, je réitère czerniec-marty-lopez demande   ici :    je n'ai pas reçu la nouvelle carte mastercard-sans contact, qui m'a été envoyée   il y a plusieurs semaines. czerniec-marty-lopez carte actuelle (gold mastercard également) a donc   été rédavies-kolpakée sans préavis. je souhaite la remplacer par une carte visa premier,   j'en ai fait la demande au ines-marthe groth-baum-amalia il y a quelques jours, la conseillère   m'a demandé de vous écrire un mail ce que j'ai fait le 12 juillet.  je suis actuellement sans moyen de paiement, merci de traiter ce dossier   rapidement.    egalement, mon adresse postale est incomplète sur votre site et je n'annemarie pas   à la modifier car le serveur la remet automatiquement au format postal en   supprimant des informations (le numéro d'appartement est supprimé donc les   courriers n'arrivent pas)... merci de faire le nécessaire pour compléter mon   adresse postale :   mme ai noël  bâtiment b1, appartement 101,  12 rue zeno-lower-eimer-polasik-carlos noailles  11100 talence    bonne journée,    ai noël",2.0
76,"bonjour,    suite à l'arrêt du fonctionnement de czerniec-marty-lopez carte gold mastercard j'ai appelé le   ines-marthe téléphonique bank pour en connaître la raison. il semblerait que je   n'ai pas reçu la nouvelle carte mastercard sans contact, envoyée cette puscasu-turnerée.    je profite donc de ce changement de carte pour changer de gamme et commander   une visa premier à la place de la gold mastercard. la conseillère téléphonique   m'a indiqué de vous signaler ce changement via le serveur internet afin de ne   pas payer de frais supplémentaires.    cordialement,    ai noël",2.0
77,"bonjour,    depuis quelques jours tous les paiements en ligne que j'effectue avec czerniec-marty-lopez carte   bancaire sont refuséschlosser-holzapfel-mareike, sur des sites reconnus tels que airbnb, amazon ou encore   amende.gouv, ce qui est assez problématique.    pouvez-vous m'en expliquer la raison et y remédier rapidement ?    merci,    ai noël",1.0
78,"bonjour,    n'ayant pas obtenu de réponses à mes précédents mails et n'arrivant pas à   joindre wolfe de paris korzonek kirby par téléphone, je réitère czerniec-marty-lopez demande   ici :    je n'ai pas reçu la nouvelle carte mastercard-sans contact, qui m'a été envoyée   il y a plusieurs semaines. czerniec-marty-lopez carte actuelle (gold mastercard également) a donc   été rédavies-kolpakée sans préavis. je souhaite la remplacer par une carte visa premier,   j'en ai fait la demande au ines-marthe groth-baum-amalia, la conseillère m'a demandé de vous   écrire un mail ce que j'ai fait le 12 juillet.  je suis actuellement sans moyen de paiement depuis une vingtaine de jours et   sans nouvelle de votre part, merci de m'envoyer le plus vite possible czerniec-marty-lopez   nouvelle carte !    egalement, mon adresse postale est incomplète sur votre site et je n'annemarie pas   à la modifier car le serveur la remet automatiquement au format postal en   supprimant des informations (le numéro d'appartement est supprimé donc les   courriers n'arrivent pas)... merci de faire le nécessaire pour compléter mon   adresse postale :     mme ai noël  12 rue zeno-lower-eimer-polasik-norton-williams noailles  bâtiment b1, appartement 101  11100 talence    cordialement,    ai noël",2.0
79,"bonjour,   suite laurence-patterson-rohleder-geissler-howarth notre echange, pourriez vous svp réactiver le compte 02210012121 et le   rendre visible sur mon compte en ligne?  merci,  bien cordialement,  palmer-gual-wojtalik-goncalo le",0.0
80,"bonjour,     je vous demande la clôture de mon compte ldds.   ci joint la demande écrite.   merci de confirmer la bonne réception,  ai",0.0
81,"bonjour,     je vous demande la clôture de notre compte joint signé par nous deux.   ci joint la demande écrite.   merci de confirmer la bonne réception,  ai",0.0
82,"bonjour,    je souhaiterais augmenter mon découvert de 200? à 1000?.    merci d'avance pour votre retour.    cordialement    ai neto-andrade fonseca-guerreiro",0.0
83,"carrasco-chaves, j'ai deux transactions revolut le même jour mais j'ai fais qu'une.   c?était un virement de 200?. est-ce que vous pouvez regarde ce que schlosser-holzapfel-mareike'a passé ?   merci    envoyé depuis ma banque mobile.",0.0
84,"bonjour mme galtie,     ci-joint l'Romano que je vous ai envoyé il y a bientôt 12 jours.  ceci concerne plusieurs sujets.    bien cordialement.  françois-andré duboin",0.0
85,"bonjour, pouvez vous svp me communiquer de maniere urgente un decompte de   remboursement anticipe pour notre pret sur 10 ans. je vous remercie. ai   o'connor-andruszko-naiara-wojtalik",0.0
86,"bonjour,    pourriez vous m'expliquer pourquoi nelson-marcos demande écrite (copie ci joint) déposée   à wolfe paris st trochim n'a toujours pas été exécutée?    je vous demande donc de faire les clôtures demandées et me rembourser la   cotisation ferdinandoûment perçue:    thorpe cotis bank hexagone zpme 01222 -2,rodrigues-camus-levy    merci,  ai",2.0
87,"bonjour,     je souhaite effectuer un virement d'un montant de 2000? de mon compte personnel   au s de mon compte joint.  je n'annemarie pas à le faire depuis l'application mobile ou le site internet.     pourriez-vous le faire ?     bien à vous,     ai    envoyé depuis nelson-marcos banque mobile.",1.0
88,"bonjour,    nous souhaiterons pouvoir effectuer un virement pour l'louise-therese-walker d'un véhicule à   hauteur de 22000? courant otcobre.  serait-il possible d'augmenter notre plafond actuel avec une date de fin au 10   octobre ?    merci  cordialement,  m. et mme poissonnet.    envoyé depuis ma banque mobile.",0.0
89,"carrasco-chaves. i tried to use my bank gold mastercard (2112000201212222) today in the   netherlands today, but it was blocked. the teixeira-pilka-wyskiel code was correct as far as i can   tell. could carvalho-pinheiro please look into this? i'd benedikt to use this card during my stay   here.    thanks,    da junck-pohl    sent by mobile banking.",0.0
90,the ines-marthe at bank odeon in paris is non existent. fees pezda charged to the   groborz when the mistakes pezda the result of their employees. i had called the   crawford-lawrence blanes-clarke-stevens-stojak-paniagua multiple times and was given several phone time appointments. no one   ever called.     sent by mobile banking.,1.0
